ZCTA,MODZCTA,ZCTA_str,zip_code,Value,Count,modzcta_count,mod_idx,tract,zip,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio,borough
10019.0,10019.0,10019,10019.0,10019 Chelsea - Clinton (Manhattan),1.0,6.0,87.0,36061013300,10019,NEW YORK,NY,0.818030050083472,0.515426497277676,0.995037220843672,0.804291474654377,MN
10019.0,10019.0,10019,10019.0,10019 Chelsea - Clinton (Manhattan),1.0,6.0,87.0,36061013500,10019,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10019.0,10019.0,10019,10019.0,10019 Chelsea - Clinton (Manhattan),1.0,6.0,87.0,36061013700,10019,NEW YORK,NY,1.0,0.909584086799276,0.962145110410094,0.97928388746803,MN
10019.0,10019.0,10019,10019.0,10019 Chelsea - Clinton (Manhattan),1.0,6.0,87.0,36061013900,10019,NEW YORK,NY,1.0,0.820338983050847,0.965601965601965,0.985748218527315,MN
10019.0,10019.0,10019,10019.0,10019 Chelsea - Clinton (Manhattan),1.0,6.0,87.0,36061014300,10019,NEW YORK,NY,1.0,0.833333333333333,1.0,0.992084432717678,MN
10021.0,10021.0,10021,10021.0,10021 Upper East Side (Manhattan),3.0,3.0,78.0,36061012400,10021,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10021.0,10021.0,10021,10021.0,10021 Upper East Side (Manhattan),3.0,3.0,78.0,36061012600,10021,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10021.0,10021.0,10021,10021.0,10021 Upper East Side (Manhattan),3.0,3.0,78.0,36061012800,10021,NEW YORK,NY,0.875808538163001,0.914285714285714,0.855524079320113,0.877189141856392,MN
10021.0,10021.0,10021,10021.0,10021 Upper East Side (Manhattan),3.0,3.0,78.0,36061013000,10021,NEW YORK,NY,0.886542443064182,0.87292817679558,0.892753623188405,0.885650224215246,MN
10022.0,10022.0,10022,10022.0,,,1.0,92.0,36061008603,10022,NEW YORK,NY,0.913518576334686,0.408376963350785,0.833333333333333,0.88358123569794,MN
